UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 09:01 ?        00:00:01 /sbin/init splash
root         2     0  0 09:01 ?        00:00:00 [kthreadd]
root         4     2  0 09:01 ?        00:00:00 [kworker/0:0H]
root         6     2  0 09:01 ?        00:00:00 [ksoftirqd/0]
root         7     2  0 09:01 ?        00:00:02 [rcu_sched]
root         8     2  0 09:01 ?        00:00:00 [rcu_bh]
root         9     2  0 09:01 ?        00:00:00 [migration/0]
root        10     2  0 09:01 ?        00:00:00 [lru-add-drain]
root        11     2  0 09:01 ?        00:00:00 [watchdog/0]
root        12     2  0 09:01 ?        00:00:00 [cpuhp/0]
root        13     2  0 09:01 ?        00:00:00 [cpuhp/1]
root        14     2  0 09:01 ?        00:00:00 [watchdog/1]
root        15     2  0 09:01 ?        00:00:00 [migration/1]
root        16     2  0 09:01 ?        00:00:00 [ksoftirqd/1]
root        18     2  0 09:01 ?        00:00:00 [kworker/1:0H]
root        19     2  0 09:01 ?        00:00:00 [cpuhp/2]
root        20     2  0 09:01 ?        00:00:00 [watchdog/2]
root        21     2  0 09:01 ?        00:00:00 [migration/2]
root        22     2  0 09:01 ?        00:00:00 [ksoftirqd/2]
root        24     2  0 09:01 ?        00:00:00 [kworker/2:0H]
root        25     2  0 09:01 ?        00:00:00 [cpuhp/3]
root        26     2  0 09:01 ?        00:00:00 [watchdog/3]
root        27     2  0 09:01 ?        00:00:00 [migration/3]
root        28     2  0 09:01 ?        00:00:00 [ksoftirqd/3]
root        30     2  0 09:01 ?        00:00:00 [kworker/3:0H]
root        31     2  0 09:01 ?        00:00:00 [kdevtmpfs]
root        32     2  0 09:01 ?        00:00:00 [netns]
root        33     2  0 09:01 ?        00:00:00 [khungtaskd]
root        34     2  0 09:01 ?        00:00:00 [oom_reaper]
root        35     2  0 09:01 ?        00:00:00 [writeback]
root        36     2  0 09:01 ?        00:00:00 [kcompactd0]
root        37     2  0 09:01 ?        00:00:00 [ksmd]
root        38     2  0 09:01 ?        00:00:00 [khugepaged]
root        39     2  0 09:01 ?        00:00:00 [crypto]
root        40     2  0 09:01 ?        00:00:00 [kintegrityd]
root        41     2  0 09:01 ?        00:00:00 [bioset]
root        42     2  0 09:01 ?        00:00:00 [kblockd]
root        43     2  0 09:01 ?        00:00:00 [ata_sff]
root        44     2  0 09:01 ?        00:00:00 [md]
root        45     2  0 09:01 ?        00:00:00 [devfreq_wq]
root        46     2  0 09:01 ?        00:00:00 [watchdogd]
root        50     2  0 09:01 ?        00:00:00 [kauditd]
root        51     2  0 09:01 ?        00:00:00 [kswapd0]
root        52     2  0 09:01 ?        00:00:00 [vmstat]
root        53     2  0 09:01 ?        00:00:00 [bioset]
root        54     2  0 09:01 ?        00:00:00 [ecryptfs-kthrea]
root        97     2  0 09:01 ?        00:00:00 [kthrotld]
root        98     2  0 09:01 ?        00:00:00 [acpi_thermal_pm]
root        99     2  0 09:01 ?        00:00:00 [bioset]
root       100     2  0 09:01 ?        00:00:00 [bioset]
root       101     2  0 09:01 ?        00:00:00 [bioset]
root       102     2  0 09:01 ?        00:00:00 [bioset]
root       103     2  0 09:01 ?        00:00:00 [bioset]
root       104     2  0 09:01 ?        00:00:00 [bioset]
root       105     2  0 09:01 ?        00:00:00 [bioset]
root       106     2  0 09:01 ?        00:00:00 [bioset]
root       107     2  0 09:01 ?        00:00:00 [scsi_eh_0]
root       108     2  0 09:01 ?        00:00:00 [scsi_tmf_0]
root       109     2  0 09:01 ?        00:00:00 [scsi_eh_1]
root       110     2  0 09:01 ?        00:00:00 [scsi_tmf_1]
root       117     2  0 09:01 ?        00:00:00 [ipv6_addrconf]
root       138     2  0 09:01 ?        00:00:00 [charger_manager]
root       139     2  0 09:01 ?        00:00:00 [bioset]
root       183     2  0 09:01 ?        00:00:00 [scsi_eh_2]
root       184     2  0 09:01 ?        00:00:00 [scsi_tmf_2]
root       192     2  0 09:01 ?        00:00:00 [kworker/1:1H]
root       193     2  0 09:01 ?        00:00:00 [bioset]
root       195     2  0 09:01 ?        00:00:00 [kworker/3:1H]
root       196     2  0 09:01 ?        00:00:00 [kworker/2:1H]
root       197     2  0 09:01 ?        00:00:00 [kworker/0:1H]
root       224     2  0 09:01 ?        00:00:00 [jbd2/sda1-8]
root       225     2  0 09:01 ?        00:00:00 [ext4-rsv-conver]
root       257     1  0 09:01 ?        00:00:00 /lib/systemd/systemd-journald
root       261     2  0 09:01 ?        00:00:01 [kworker/1:2]
root       273     1  0 09:01 ?        00:00:00 /lib/systemd/systemd-udevd
root       368     2  0 09:01 ?        00:00:00 [iprt-VBoxWQueue]
root       401     2  0 09:01 ?        00:00:00 [ttm_swap]
root       736     1  0 09:01 ?        00:00:00 /bin/sh /usr/lib/systemd/pwpolicy start
root       739     1  0 09:01 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       757     1  0 09:01 ?        00:00:00 /usr/sbin/acpid
message+   760     1  0 09:01 ?        00:00:03 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root       804     1  0 09:01 ?        00:00:00 /lib/systemd/systemd-logind
root       809     1  0 09:01 ?        00:00:00 /usr/sbin/ModemManager
avahi      813     1  0 09:01 ?        00:00:00 avahi-daemon: running [kmaduri-VirtualBox.local]
root       815     1  0 09:01 ?        00:00:00 /usr/sbin/cron -f
whoopsie   816     1  0 09:01 ?        00:00:00 /usr/bin/whoopsie -f
syslog     818     1  0 09:01 ?        00:00:00 /usr/sbin/rsyslogd -n
root       819     1  0 09:01 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       822     1  0 09:01 ?        00:00:01 /usr/lib/snapd/snapd
avahi      846   813  0 09:01 ?        00:00:00 avahi-daemon: chroot helper
root       847     1  0 09:01 ?        00:00:00 /usr/sbin/cups-browsed
root       853     1  0 09:01 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       857     1  0 09:01 ?        00:00:00 /usr/sbin/lightdm
root       991     1  0 09:01 ?        00:00:04 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
nobody    1000   819  0 09:01 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --conf-file=/dev/null --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root      1140     1  0 09:01 ?        00:00:00 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
root      1161   857  1 09:01 tty7     00:05:07 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1214   857  0 09:01 ?        00:00:00 lightdm --session-child 12 15
kmaduri   1219     1  0 09:01 ?        00:00:00 /lib/systemd/systemd --user
kmaduri   1220  1219  0 09:01 ?        00:00:00 (sd-pam)
kmaduri   1223  1214  0 09:01 ?        00:00:00 /sbin/upstart --user
kmaduri   1236     1  0 09:01 ?        00:00:00 /usr/bin/VBoxClient --clipboard
kmaduri   1237  1236  0 09:01 ?        00:00:00 /usr/bin/VBoxClient --clipboard
kmaduri   1246     1  0 09:01 ?        00:00:00 /usr/bin/VBoxClient --display
kmaduri   1248  1246  0 09:01 ?        00:00:00 /usr/bin/VBoxClient --display
kmaduri   1251     1  0 09:01 ?        00:00:00 /usr/bin/VBoxClient --seamless
kmaduri   1252  1251  0 09:01 ?        00:00:00 /usr/bin/VBoxClient --seamless
kmaduri   1256     1  0 09:01 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
kmaduri   1257  1256  0 09:01 ?        00:00:29 /usr/bin/VBoxClient --draganddrop
kmaduri   1372  1223  0 09:01 ?        00:00:00 upstart-udev-bridge --daemon --user
kmaduri   1374  1223  0 09:01 ?        00:00:01 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-H9nbybfUyy
kmaduri   1386  1223  0 09:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
kmaduri   1409  1223  0 09:01 ?        00:00:00 gnome-keyring-daemon --start --components pkcs11,secrets
kmaduri   1420  1223  0 09:01 ?        00:00:00 upstart-dbus-bridge --daemon --session --user --bus-name session
kmaduri   1424  1223  0 09:01 ?        00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
kmaduri   1426  1223  0 09:01 ?        00:00:00 upstart-file-bridge --daemon --user
kmaduri   1430  1223  0 09:01 ?        00:00:26 /usr/bin/ibus-daemon --daemonize --xim --address unix:tmpdir=/tmp/ibus
kmaduri   1440  1223  0 09:01 ?        00:00:00 /usr/lib/gvfs/gvfsd
kmaduri   1448  1223  0 09:01 ?        00:00:14 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
kmaduri   1453  1223  0 09:01 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
kmaduri   1458  1430  0 09:01 ?        00:00:00 /usr/lib/ibus/ibus-dconf
kmaduri   1464  1430  0 09:01 ?        00:00:08 /usr/lib/ibus/ibus-ui-gtk3
